Landroid/os/IProfilingAnomalyCallback$Default;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/IProfilingAnomalyCallback$Stub$Proxy;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/IProfilingAnomalyCallback$Stub;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/IProfilingAnomalyCallback$Stub;->onTransact(ILandroid/os/Parcel;Landroid/os/Parcel;I)Z,public-api,sdk,system-api,test-api
Landroid/os/IProfilingResultCallback$Default;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/IProfilingResultCallback$Stub$Proxy;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/IProfilingResultCallback$Stub;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/IProfilingResultCallback$Stub;->onTransact(ILandroid/os/Parcel;Landroid/os/Parcel;I)Z,public-api,sdk,system-api,test-api
Landroid/os/IProfilingService$Default;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/IProfilingService$Stub$Proxy;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/IProfilingService$Stub;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/IProfilingService$Stub;->onTransact(ILandroid/os/Parcel;Landroid/os/Parcel;I)Z,public-api,sdk,system-api,test-api
Landroid/os/IProfilingTriggerCallback$Default;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/IProfilingTriggerCallback$Stub$Proxy;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/IProfilingTriggerCallback$Stub;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/IProfilingTriggerCallback$Stub;->onTransact(ILandroid/os/Parcel;Landroid/os/Parcel;I)Z,public-api,sdk,system-api,test-api
Landroid/os/ProfilingFrameworkInitializer$$ExternalSyntheticLambda0;->createService(Landroid/content/Context;)Ljava/lang/Object;,sdk,system-api,test-api
Landroid/os/ProfilingManager$$ExternalSyntheticLambda0;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager$$ExternalSyntheticLambda1;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager$$ExternalSyntheticLambda2;->onCancel()V,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager$$ExternalSyntheticLambda3;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager$$ExternalSyntheticLambda4;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager$$ExternalSyntheticLambda5;->accept(Ljava/lang/Object;)V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager$1;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager$2;->accept(Ljava/io/File;)Z,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager$3$$ExternalSyntheticLambda0;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager;->PROFILING_TYPE_HEAP_PROFILE:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager;->PROFILING_TYPE_JAVA_HEAP_DUMP:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager;->PROFILING_TYPE_STACK_SAMPLING:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager;->PROFILING_TYPE_SYSTEM_TRACE:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager;->addAllProfilingTriggers()V,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager;->addProfilingTriggers(Ljava/util/List;)V,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager;->clearProfilingTriggers()V,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager;->registerForAllProfilingResults(Ljava/util/concurrent/Executor;Ljava/util/function/Consumer;)V,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager;->removeProfilingTriggersByType([I)V,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager;->requestProfiling(ILandroid/os/Bundle;Ljava/lang/String;Landroid/os/CancellationSignal;Ljava/util/concurrent/Executor;Ljava/util/function/Consumer;)V,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager;->requestRunningSystemTrace(Ljava/lang/String;)V,public-api,sdk,system-api,test-api
Landroid/os/ProfilingManager;->unregisterForAllProfilingResults(Ljava/util/function/Consumer;)V,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult$1;->createFromParcel(Landroid/os/Parcel;)Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult$1;->newArray(I)[Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->CREATOR:Landroid/os/Parcelable$Creator;,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->ERROR_FAILED_EXECUTING:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->ERROR_FAILED_INVALID_REQUEST:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->ERROR_FAILED_NO_DISK_SPACE:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->ERROR_FAILED_POST_PROCESSING:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->ERROR_FAILED_PROFILING_IN_PROGRESS:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->ERROR_FAILED_RATE_LIMIT_PROCESS:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->ERROR_FAILED_RATE_LIMIT_SYSTEM:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->ERROR_NONE:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->ERROR_UNKNOWN:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->describeContents()I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->equals(Ljava/lang/Object;)Z,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->getErrorCode()I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->getErrorMessage()Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->getResultFilePath()Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->getTag()Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->getTriggerType()I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->hashCode()I,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingResult;->writeToParcel(Landroid/os/Parcel;I)V,public-api,sdk,system-api,test-api
Landroid/os/ProfilingServiceHelper$$ExternalSyntheticLambda0;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingServiceHelper$$ExternalSyntheticLambda1;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingServiceHelper$1$$ExternalSyntheticLambda0;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger$Builder;-><init>(I)V,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger$Builder;->build()Landroid/os/ProfilingTrigger;,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger$Builder;->setRateLimitingPeriodHours(I)Landroid/os/ProfilingTrigger$Builder;,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->TRIGGER_TYPE_ANOMALY:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->TRIGGER_TYPE_ANR:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->TRIGGER_TYPE_APP_COMPAT:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->TRIGGER_TYPE_APP_FULLY_DRAWN:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->TRIGGER_TYPE_APP_REQUEST_RUNNING_TRACE:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->TRIGGER_TYPE_COLD_START:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->TRIGGER_TYPE_KILL_EXCESSIVE_CPU_USAGE:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->TRIGGER_TYPE_KILL_FORCE_STOP:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->TRIGGER_TYPE_KILL_RECENTS:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->TRIGGER_TYPE_KILL_TASK_MANAGER:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->TRIGGER_TYPE_NONE:I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->TRIGGER_TYPE_OOM:I,public-api,sdk,system-api,test-api
